Number of tests,Onwards transmission,Percentage of tests that are positive
317.0,4.469583750000001,0.005
318.0,4.465821249999999,0.005
319.0,4.46205875,0.005
320.0,4.45829625,0.005
321.0,4.45453375,0.005
322.0,4.450771250000001,0.005
323.0,4.44700875,0.005
324.0,4.44324625,0.005
325.0,4.439483750000001,0.005
326.0,4.43572125,0.005
327.0,4.431958750000001,0.005
328.0,4.42819625,0.005
329.0,4.42443375,0.005
330.0,4.420671250000002,0.005
331.0,4.41690875,0.005
332.0,4.4131462500000005,0.005
333.0,4.40938375,0.005
334.0,4.40562125,0.005
335.0,4.401858750000001,0.005
336.0,4.39809625,0.005
337.0,4.39433375,0.005
338.0,4.39057125,0.005
339.0,4.38680875,0.005
340.0,4.3830462500000005,0.005
341.0,4.37928375,0.005
342.0,4.37552125,0.005
343.0,4.37175875,0.005
344.0,4.36799625,0.005
345.0,4.36423375,0.005
346.0,4.36047125,0.005
347.0,4.35670875,0.005
348.0,4.3529462500000005,0.005
349.0,4.34918375,0.005
350.0,4.34542125,0.005
351.0,4.341658750000001,0.005
352.0,4.337896250000001,0.005
353.0,4.334133750000001,0.005
354.0,4.33037125,0.005
355.0,4.32660875,0.005
356.0,4.32284625,0.005
357.0,4.319083750000001,0.005
358.0,4.315321250000001,0.005
359.0,4.31155875,0.005
360.0,4.30779625,0.005
361.0,4.30403375,0.005
362.0,4.300271250000001,0.005
363.0,4.296508750000001,0.005
364.0,4.2927462499999995,0.005
365.0,4.28898375,0.005
366.0,4.285221249999999,0.005
367.0,4.2814587500000005,0.005
368.0,4.277696250000001,0.005
369.0,4.273933749999999,0.005
370.0,4.27017125,0.005
371.0,4.26640875,0.005
372.0,4.26264625,0.005
373.0,4.258883750000001,0.005
374.0,4.25512125,0.005
375.0,4.2513587500000005,0.005
376.0,4.247596250000001,0.005
377.0,4.24383375,0.005
378.0,4.240071250000001,0.005
379.0,4.23630875,0.005
380.0,4.23254625,0.005
381.0,4.22878375,0.005
382.0,4.22502125,0.005
383.0,4.2212587500000005,0.005
384.0,4.21749625,0.005
385.0,4.21373375,0.005
386.0,4.209971250000001,0.005
387.0,4.20620875,0.005
388.0,4.20244625,0.005
389.0,4.19868375,0.005
390.0,4.19492125,0.005
391.0,4.1911587500000005,0.005
392.0,4.187396249999999,0.005
393.0,4.18363375,0.005
394.0,4.179871250000001,0.005
395.0,4.17610875,0.005
396.0,4.17234625,0.005
397.0,4.16858375,0.005
398.0,4.16482125,0.005
399.0,4.1610587500000005,0.005
400.0,4.15729625,0.005
401.0,4.15353832390625,0.005
402.0,4.14978959125,0.005000000000000001
403.0,4.14605012046875,0.005
404.0,4.14231998,0.005
405.0,4.13859923828125,0.005
406.0,4.134887963750001,0.005000000000000001
407.0,4.13118622484375,0.005
408.0,4.127494090000001,0.005
409.0,4.12381162765625,0.005
410.0,4.12013890625,0.004999999999999999
411.0,4.11647599421875,0.005
412.0,4.11282296,0.005
413.0,4.10917987203125,0.005
414.0,4.105546798750001,0.004999999999999999
415.0,4.1019238085937495,0.005
416.0,4.09831097,0.005
417.0,4.09470835140625,0.005
418.0,4.09111602125,0.004999999999999999
419.0,4.0875340479687505,0.005
420.0,4.0839625,0.005
421.0,4.08040144578125,0.005
422.0,4.07685095375,0.005
423.0,4.073311092343751,0.005
424.0,4.069781930000001,0.005
425.0,4.06626353515625,0.005
426.0,4.06275597625,0.005
427.0,4.05925932171875,0.005000000000000001
428.0,4.05577364,0.005
429.0,4.052298999531251,0.005
430.0,4.04883546875,0.005
431.0,4.045383116093751,0.005000000000000001
432.0,4.04194201,0.005
433.0,4.03851221890625,0.005
434.0,4.03509381125,0.005
435.0,4.03168685546875,0.005000000000000001
436.0,4.02829142,0.005
437.0,4.024907573281251,0.005
438.0,4.02153538375,0.005
439.0,4.01817491984375,0.004999999999999999
440.0,4.01482625,0.005
441.0,4.01148944265625,0.005
442.0,4.0081645662500005,0.005
443.0,4.00485168921875,0.005
444.0,4.00155088,0.005
445.0,3.9982622070312503,0.005
446.0,3.99498573875,0.005
447.0,3.991721543593751,0.005
448.0,3.9884696900000005,0.005
449.0,3.98523024640625,0.005
450.0,3.98200328125,0.005
451.0,3.9795354294375005,0.005033259423503326
452.0,3.977079723000001,0.005066371681415929
453.0,3.974636216687501,0.005099337748344371
454.0,3.9722049652500004,0.00513215859030837
455.0,3.9697860234375004,0.005164835164835165
456.0,3.9673794460000007,0.005197368421052632
457.0,3.9649852876875005,0.005229759299781182
458.0,3.9626036032500007,0.005262008733624454
459.0,3.9602344474375,0.005294117647058824
460.0,3.957877875000001,0.005326086956521739
461.0,3.9555339406875003,0.005357917570498916
462.0,3.9532026992500007,0.00538961038961039
463.0,3.9508842054375,0.005421166306695464
464.0,3.9485785140000003,0.0054525862068965526
465.0,3.9462856796875,0.005483870967741935
466.0,3.9440057572500002,0.005515021459227468
467.0,3.9417388014375003,0.005546038543897216
468.0,3.939484867000001,0.0055769230769230765
469.0,3.9372440086875002,0.005607675906183368
470.0,3.93501628125,0.005638297872340425
471.0,3.932801739437501,0.005668789808917198
472.0,3.9306004379999995,0.005699152542372881
473.0,3.9284124316875006,0.00572938689217759
474.0,3.926237775249999,0.005759493670886076
475.0,3.924076523437501,0.005789473684210527
476.0,3.9219287310000004,0.005819327731092437
477.0,3.9197944526874995,0.005849056603773585
478.0,3.91767374325,0.005878661087866109
479.0,3.9155666574375,0.005908141962421712
480.0,3.91347325,0.0059375
481.0,3.9113935756875,0.005966735966735967
482.0,3.9093276892500004,0.005995850622406639
483.0,3.9072756454375,0.0060248447204968945
484.0,3.905237499,0.006053719008264463
485.0,3.9032133046875006,0.006082474226804124
486.0,3.9012031172500006,0.0061111111111111106
487.0,3.8992069914375005,0.006139630390143738
488.0,3.897224982,0.006168032786885246
489.0,3.8952571436875005,0.006196319018404908
490.0,3.893303531250001,0.006224489795918367
491.0,3.8913641994375006,0.006252545824847251
492.0,3.8894392030000007,0.006280487804878048
493.0,3.887528596687501,0.006308316430020284
494.0,3.885632435250001,0.0063360323886639675
495.0,3.8837507734375,0.006363636363636364
496.0,3.8818836659999993,0.006391129032258064
497.0,3.8800311676875,0.00641851106639839
498.0,3.87819333325,0.006445783132530121
499.0,3.8763702174374997,0.006472945891783567
500.0,3.8745618750000004,0.0065
501.0,3.8727683606875005,0.006526946107784431
502.0,3.87098972925,0.006553784860557769
503.0,3.8692260354375003,0.00658051689860835
504.0,3.867477334,0.0066071428571428574
505.0,3.8657436796875,0.0066336633663366335
506.0,3.8640251272500006,0.0066600790513833994
507.0,3.8623217314375005,0.006686390532544379
508.0,3.860633547000001,0.006712598425196851
509.0,3.8589606286875004,0.006738703339882121
510.0,3.8573030312500007,0.006764705882352942
511.0,3.8556608094375004,0.006790606653620352
512.0,3.8540340180000006,0.00681640625
513.0,3.8524227116875007,0.006842105263157894
514.0,3.8508269452499997,0.006867704280155642
515.0,3.8492467734375,0.006893203883495146
516.0,3.8476822509999997,0.006918604651162791
517.0,3.8461334326874996,0.006943907156673114
518.0,3.84460037325,0.0069691119691119695
519.0,3.8430831274374997,0.006994219653179191
520.0,3.84158175,0.00701923076923077
521.0,3.8400962956875,0.007044145873320537
522.0,3.8386268192500004,0.007068965517241379
523.0,3.8371733754375,0.007093690248565965
524.0,3.8357360190000005,0.007118320610687023
525.0,3.8343148046875006,0.007142857142857143
